"Município","ibge","latitude","longitude","/Segurança/Ind...micídio Doloso 2012 (-)"
"Agudo","4300109","-29.644700000000","-53.251500000000","2"
"Alegrete","4300406","-29.790199999990","-55.794899999990","8"
"Alpestre","4300505","-27.250200000000","-53.034100000000","5"
"Alvorada","4300604","-29.991399999990","-51.080900000000","133"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","1"
"Aratiba","4300901","-27.397800000000","-52.297499999990","2"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","1"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","1"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","1"
"Bagé","4301602","-31.329699999990","-54.099899999990","4"
"Balneário Pinhal","4301636","-30.241900000000","-50.233600000000","3"
"Barão do Triunfo","4301750","-30.389099999990","-51.738399999990","1"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","1"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","2"
"Barra Funda","4301958","-27.920500000000","-53.039099999990","1"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","5"
"Bento Gonçalves","4302105","-29.166200000000","-51.516500000000","16"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","1"
"Bom Progresso","4302378","-27.539899999990","-53.871600000000","1"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","1"
"Brochier","4302659","-29.550100000000","-51.594499999990","1"
"Butiá","4302709","-30.117899999990","-51.960099999990","5"
"Caçapava do Sul","4302808","-30.514399999990","-53.482700000000","7"
"Cacequi","4302907","-29.888300000000","-54.822000000000","2"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","5"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","27"
"Caiçara","4303400","-27.279100000000","-53.425699999990","2"
"Camaquã","4303509","-30.848900000000","-51.804299999990","3"
"Campina das Missões","4303707","-27.988800000000","-54.841700000000","1"
"Campo Bom","4303905","-29.674700000000","-51.060600000000","7"
"Candelária","4304200","-29.668399999990","-52.789499999990","6"
"Candiota","4304358","-31.551500000000","-53.677300000000","1"
"Canguçu","4304507","-31.396000000000","-52.678199999990","4"
"Canoas","4304606","-29.912800000000","-51.185699999990","113"
"Capão Bonito do Sul","4304622","-29.764199999990","-50.028199999990","1"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","19"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","2"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","1"
"Capivari do Sul","4304671","-30.138200000000","-50.515099999990","1"
"Carazinho","4304705","-28.295800000000","-52.793300000000","13"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","1"
"Carlos Gomes","4304853","-27.716699999990","-51.912100000000","1"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","106"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","4"
"Chapada","4305306","-28.055900000000","-53.066499999990","1"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","3"
"Cidreira","4305454","-30.160399999990","-50.233800000000","5"
"Ciríaco","4305504","-28.341899999990","-51.874099999990","1"
"Constantina","4305801","-27.731999999990","-52.993800000000","2"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","1"
"Coxilha","4305975","-28.128000000000","-52.302300000000","1"
"Cristal","4306056","-31.004600000000","-52.043599999990","1"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","7"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","4"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","6"
"Encantado","4306809","-29.235099999990","-51.870300000000","1"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","3"
"Entre-ijuís","4306932","-28.368600000000","-54.268599999990","1"
"Erechim","4307005","-27.636399999990","-52.269700000000","15"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","1"
"Espumoso","4307500","-28.728600000000","-52.846100000000","3"
"Estação","4307559","-27.913499999990","-52.263500000000","1"
"Estância Velha","4307609","-29.653500000000","-51.184300000000","1"
"Esteio","4307708","-29.852000000000","-51.184100000000","19"
"Estrela","4307807","-29.501600000000","-51.960500000000","5"
"Eugênio de Castro","4307831","-28.531500000000","-54.150599999990","1"
"Fagundes Varela","4307864","-28.879400000000","-51.701400000000","1"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","11"
"Faxinal do Soturno","4308003","-29.578800000000","-53.448399999990","1"
"Fazenda Vilanova","4308078","-29.588500000000","-51.821700000000","1"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","3"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","3"
"Fortaleza dos Valos","4308458","-28.798600000000","-53.224899999990","1"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","2"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","4"
"Garruchos","4308656","-28.194400000000","-55.638300000000","1"
"General Câmara","4308805","-29.903199999990","-51.761200000000","1"
"Getúlio Vargas","4308904","-27.891100000000","-52.229399999990","2"
"Giruá","4309001","-28.029699999990","-54.351700000000","1"
"Glorinha","4309050","-29.879799999990","-50.773400000000","2"
"Gramado","4309100","-29.373300000000","-50.876199999990","1"
"Gravataí","4309209","-29.941299999990","-50.986899999990","59"
"Guaíba","4309308","-30.108599999990","-51.323300000000","31"
"Guaporé","4309407","-28.839900000000","-51.889499999990","2"
"Guarani das Missões","4309506","-28.149100000000","-54.562899999990","1"
"Horizontina","4309605","-27.628200000000","-54.305300000000","2"
"Humaitá","4309704","-27.569099999990","-53.969499999990","1"
"Ibirapuitã","4309951","-28.624700000000","-52.515799999990","2"
"Ibirubá","4310009","-28.630199999990","-53.096100000000","2"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","6"
